name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2019-12-19,12.6,7.1,10.2,12.6,5.8,9.7,7.6,84.1,16.512,100,83.33,rain,0,0,96.8,31,175.4,1010.2,93.4,11.9,6.5,0.6,0,,2019-12-19T08:33:09,2019-12-19T17:50:17,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"08224099999,08219099999,08220099999,08215099999,08221099999,LEMD,D4212,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2019-12-20,13.4,10.9,12,13.4,10.9,12,8.9,82.2,46.536,100,66.67,rain,0,0,120.6,32,235,999.3,82.1,12.7,36.7,3.2,3,,2019-12-20T08:33:43,2019-12-20T17:50:43,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-12-21,16.3,10.6,13.1,16.3,10.6,13.1,8.9,76.7,0.709,100,41.67,rain,0,0,98.3,49.5,243.4,1003.5,69.2,16.2,74.5,6.4,5,,2019-12-21T08:34:16,2019-12-21T17:51:11,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-12-22,12.8,8.9,10.9,12.8,7.1,10.6,5.4,69.4,0.001,100,4.17,rain,0,0,116.6,43.3,252.4,1015.8,52.1,14.1,65.1,5.6,4,,2019-12-22T08:34:46,2019-12-22T17:51:40,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-12-23,13.1,5.8,9,13.1,4.4,8.4,2.1,62.6,0,0,0,,0,0,33.7,16.6,249.5,1027.5,49.2,16.6,96.8,8.5,4,,2019-12-23T08:35:14,2019-12-23T17:52:12,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-12-24,14.9,3.1,7.5,14.9,0.7,7.1,3.4,76.9,0,0,0,,0,0,11.4,9.3,57.2,1030.1,64.5,13.4,92.6,8.2,5,,2019-12-24T08:35:41,2019-12-24T17:52:46,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-12-25,16.6,3.2,8.4,16.6,2.9,8.3,4.1,76.6,0,0,0,,0,0,15.2,5.9,65.6,1027.2,38.4,13.7,102,8.7,5,,2019-12-25T08:36:05,2019-12-25T17:53:22,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-12-26,15.8,3.5,8.3,15.8,3.5,8,4,76.2,0,0,0,,0,0,20.3,10,56.3,1028.6,57.2,13.1,102.9,8.8,5,,2019-12-26T08:36:28,2019-12-26T17:54:00,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-12-27,15.7,0.6,6.4,15.7,-1.6,5.6,-0.6,63.6,0,0,0,,0,0,19.7,9.3,45.4,1031,39.4,20,109.8,9.5,5,,2019-12-27T08:36:48,2019-12-27T17:54:39,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-12-28,16.1,-0.9,5.5,16.1,-2.4,5.3,-2.7,60,0,0,0,,0,0,12.6,5.6,64.4,1031.1,2,22.1,109,9.4,5,,2019-12-28T08:37:06,2019-12-28T17:55:21,0.07,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
